Nasir Ahmed,20.0,9.0
Sajjad Ahmed,7.5
Salahuddin Ahmed,12.0
Shafiuddin Ahmed,22.0,19.0,17.0,11.0
Taskin Ahmed,58.0,50.0,17.0,2.0,0.0
Jahangir Alam,2.0,2.0
Rafiqul Alam,12.0
Mahbubul Alam,41.75,1.25
Jahangir Alam Talukdar,0
Shakib Al Hasan,1522.0,1461.0,1364.0,1147.0,1068.0,979.0,842.0,761.0,664.0,520.0,414.0,309.0,201.0,67.0
Gazi Ashraf,39.0,21.0,10.0
Tareq Aziz,21.0,10.0,7.0
Tapash Baisya,194.0,176.0,176.0,143.0,77.0,52.0
Habibul Bashar,852.0,827.0,749.0,673.0,579.0,466.0,358.0,305.0,197.0,126.0,101.0,86.0,16.0
Liton Das,317.0,241.0,120.0,50.0
Gholam Faruq,37.0,37.0,14.0
Wahidul Gani,0
Sohag Gazi,176.0,173.0,131.0,30.0
Dhiman Ghosh,12.7
Anamul Haque,351.0,316.0,269.0,160.0,120.0
Ariful Haque,21.0
Ehsanul Haque,16.0,9.0
Enamul Haque,131.0,120.0,88.0,64.0,57.0,38.0,34.0,26.0,18.0
Enamul Haque Jr,41.0,35.0,22.0,16.0,16.0,13.0,9.0,9.0
Mazharul Haque,3.0
Mominul Haque,757.0,742.0,566.0,489.0,423.0,343.0,212.0,31.0
Shariful Haque,10.0
Abul Hasan,146.0,139.0,139.0,138.0,113.0
Nurul Hasan,155.0,91.0,44.0
Raquibul Hasan,8.5
Zakir Hasan,0
Raqibul Hasan,284.0,243.0,167.0,89.0
Mehidy Hasan Miraz,158.0,121.0,53.0,2.0
Tanbir Hayder,2.5
Abu Hider,36.0,14.0
Shuvagata Hom,149.0,124.0,85.0,35.0
Al-Amin Hossain,38.0,38.0,37.0,5.0
Anwar Hossain,18.66
Azhar Hossain,64.0,10.0
Faisal Hossain,25.0,17.0
Hasibul Hossain,125.0,124.0,118.0,87.0,59.0,43.0,22.0,1.0
Jubair Hossain,9.0,6.5
Mehrab Hossain,253.0,223.0,182.0,111.0,107.0,6.0
Mehrab Hossain jnr,192.0,149.0,66.0,54.0
Mosharraf Hossain,15.0,8.0
Nasir Hossain,454.0,451.0,406.0,379.0,338.0,296.0,196.0,100.0
Nazmul Hossain,25.0,25.0,17.0,17.0,14.0,14.0,14.0,8.0
Rubel Hossain,156.0,153.0,137.0,121.0,111.0,107.0,62.0,55.0,41.0,25.0,8.0
Sanwar Hossain,160.0,114.0,65.0,13.0
Shahadat Hossain,213.0,213.0,195.0,182.0,169.0,148.0,108.0,75.0,51.0,20.0,7.0
Shahriar Hossain,172.0,124.0,112.0,17.0,16.0
Anwar Hossain Monir,17.0,4.0,0.0
Nazmul Hossain Shanto,31.0,18.0
Nafees Iqbal,218.0,184.0,63.0,9.0
Tamim Iqbal,1588.0,1462.0,1332.0,1204.0,1086.0,880.0,771.0,659.0,571.0,488.0,337.0,183.0,54.0
Tushar Imran,193.0,171.0,151.0,119.0,71.0,6.0
Aminul Islam,543.0,512.0,428.0,283.0,217.0,147.0,110.0,68.0,27.0
Aminul Islam Jnr,0
Jahurul Islam,147.0,99.0,46.0
Naeem Islam,457.0,422.0,338.0,230.0,178.0,119.0,46.0
Nazmul Islam,7.25
Rafiqul Islam,2.33
Robiul Islam,59.0,54.0,21.0,9.0
Saiful Islam,29.0,22.0,0
Shafiul Islam,112.0,99.0,97.0,82.0,78.0,77.0,53.0
Sunzamul Islam,21.5,0
Taijul Islam,123.0,115.0,76.0,64.0,48.0,32.0
Manjural Islam Rana,129.0,106.0,89.0,20.0
Manjural Islam,46.0,41.0,36.0,15.0,6.0,6.0
Abu Jayed,6.0,2.0
Talha Jubair,40.0,9.0,5.0
Ahmed Kamal,11.0
Alok Kapali,401.0,381.0,266.0,247.0,192.0,188.0,160.0,89.0
Imrul Kayes,864.0,720.0,652.0,540.0,390.0,260.0,167.0,66.0,33.0
Akram Khan,433.0,389.0,369.0,325.0,261.0,196.0,157.0,98.0,54.0,21.0
Athar Ali Khan,254.0,207.0,125.0,108.0,30.0
